time,computers on
2016-09-02 18:46:43,18
2016-09-02 19:04:20,18
2016-09-02 19:21:58,17
2016-09-02 19:39:36,17
2016-09-02 19:57:13,17
2016-09-02 20:14:51,17
2016-09-02 20:32:29,17
2016-09-02 20:50:06,17
2016-09-02 21:07:44,17
2016-09-02 21:25:21,17
2016-09-02 21:42:59,17
2016-09-02 22:00:37,17
2016-09-02 22:18:14,17
2016-09-02 22:35:52,17
2016-09-02 22:53:30,17
2016-09-02 23:11:07,17
2016-09-02 23:28:45,17
2016-09-02 23:46:22,17
2016-09-03 00:04:00,17
2016-09-03 00:21:38,17
2016-09-03 00:39:15,17
2016-09-03 00:56:53,17
2016-09-03 01:14:30,17
2016-09-03 01:32:08,17
2016-09-03 01:49:46,17
2016-09-03 02:07:23,17
2016-09-03 02:25:01,17
2016-09-03 02:42:39,17
2016-09-03 03:00:16,17
2016-09-03 03:17:54,17
2016-09-03 03:35:31,17
2016-09-03 03:53:09,17
2016-09-03 04:10:47,17
2016-09-03 04:28:25,17
2016-09-03 04:46:02,17
2016-09-03 05:03:40,17
2016-09-03 05:21:18,17
2016-09-03 05:38:55,17
2016-09-03 05:56:33,17
2016-09-03 06:14:10,17
2016-09-03 06:31:48,17
2016-09-03 06:49:26,17
2016-09-03 07:07:03,17
2016-09-03 07:24:41,17
2016-09-03 07:42:18,17
2016-09-03 07:59:56,17
2016-09-03 08:17:34,17
2016-09-03 08:35:17,17
2016-09-03 08:52:55,17
2016-09-03 09:10:33,17
2016-09-03 09:28:10,17
2016-09-03 09:45:48,17
2016-09-03 10:03:25,17
2016-09-03 10:21:03,17
2016-09-03 10:38:41,17
2016-09-03 10:56:18,17
2016-09-03 11:13:56,17
2016-09-03 11:31:34,17
2016-09-03 11:49:11,16
2016-09-03 12:06:49,15
2016-09-03 12:24:26,15
2016-09-03 12:42:04,15
2016-09-03 12:59:42,15
2016-09-03 13:17:20,15
2016-09-03 13:34:57,15
2016-09-03 13:52:35,15
2016-09-03 14:10:12,15
2016-09-03 14:27:50,15
2016-09-03 14:45:28,15
2016-09-03 15:03:05,15
2016-09-03 15:20:43,15
2016-09-03 15:38:20,15
2016-09-03 15:55:58,15
2016-09-03 16:13:36,15
2016-09-03 16:31:13,15
2016-09-03 16:48:51,15
2016-09-03 17:06:29,15
2016-09-03 17:24:06,15
2016-09-03 17:41:44,15
2016-09-03 17:59:21,15
2016-09-03 18:16:59,17
2016-09-03 18:34:37,17
2016-09-03 18:52:14,17
2016-09-03 19:09:52,17
2016-09-03 19:27:30,17
2016-09-03 19:45:07,17
2016-09-03 20:02:45,17
2016-09-03 20:20:23,17
2016-09-03 20:38:00,17
2016-09-03 20:55:38,17
2016-09-03 21:13:15,17
2016-09-03 21:30:53,17
2016-09-03 21:48:31,17
2016-09-03 22:06:09,17
2016-09-03 22:23:46,17
2016-09-03 22:41:24,17
2016-09-03 22:59:02,17
2016-09-03 23:16:39,17
2016-09-03 23:34:17,17
2016-09-03 23:51:54,17
2016-09-04 00:09:32,17
2016-09-04 00:27:10,17
2016-09-04 00:44:47,17
2016-09-04 01:02:25,17
2016-09-04 01:20:02,17
2016-09-04 01:37:40,17
2016-09-04 01:55:18,17
2016-09-04 02:12:55,17
2016-09-04 02:30:33,17
2016-09-04 02:48:11,17
2016-09-04 03:05:48,17
2016-09-04 03:23:26,17
2016-09-04 03:41:03,17
2016-09-04 03:58:41,17
2016-09-04 04:16:19,17
2016-09-04 04:33:56,17
2016-09-04 04:51:34,17
2016-09-04 05:09:11,17
2016-09-04 05:26:49,17
2016-09-04 05:44:27,17
2016-09-04 06:02:04,17
2016-09-04 06:19:42,17
2016-09-04 06:37:20,17
2016-09-04 06:54:57,17
2016-09-04 07:12:35,17
2016-09-04 07:30:13,17
2016-09-04 07:47:50,17
2016-09-04 08:05:28,17
2016-09-04 08:23:06,17
2016-09-04 08:40:43,17
